organization_name,domain,sector,spf_status,spf_record,spf_qualifier,spf_qualifier_score,spf_lookup_count,spf_lookup_exceeds_limit,dmarc_status,dmarc_record,dmarc_policy,dmarc_policy_score,dmarc_subdomain_policy,dmarc_pct,dmarc_reporting_configured,dmarc_forensic_reporting_configured,dmarc_alignment_spf,dmarc_alignment_dkim,dkim_status,dkim_selector,dkim_record,dkim_key_type,dkim_key_bits,dkim_key_length_score,dkim_revoked,dkim_testing_mode
"Department of Agriculture, Food and the Marine",agriculture.gov.ie,Central Government,found,v=spf1 mx a ip4:137.191.244.202 a:agriculture.gov.ie ~all,~all,3,3,FALSE,found,v=DMARC1; p=none; rua=mailto:dmarc.reporting@agriculture.gov.ie; ruf=mailto:dmarc.forensics@agriculture.gov.ie; ri=604800,none,2,none,100,TRUE,TRUE,r,r,found,s1,k=rsa; t=s; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwu6Jjn4HiNEgV/4VUR+01VYjvBRKhubt04UCnxV2HWiL0WRpZXDN5bJSDgJpsj/LaYpoIxf+b0ASY6Ehe6BAHBOFoBuslq7F2cyOdi+i+ziNOedQXPbs6cosaPkdWGW5f4LQ9lTEQ94JoqzpXE9WfaT4OYXKrEUFN5ey+xGIHbzTQt1z8xoUNdTytVG0KlMSkOycrice7nrt7KP/hMB+1vgD7vzM6IV1g7uDPFUxvvZh4R6rnO5IDciqWX+RE0YPHp5dpdB2cjekqAYf1xywt9s/GmfYDzdYlxTJ7k7p+UG8kjIPasZEs/VjMUZLebwjGo9AsnOnKJKS9DCMSe1AFwIDAQAB,rsa,2048,3,FALSE,FALSE
"Department of Children, Disability and Equality",dcde.gov.ie,Central Government,found,v=spf1 ip4:137.191.246.53 ip4:137.191.249.114 ip4:137.191.246.70 include:spfext.itservices.gov.ie include:spf.newsletter.ie -all,-all,4,5,FALSE,found,v=DMARC1; p=none;,none,2,none,100,FALSE,FALSE,r,r,not_published,,,,,,,
"Department of Climate, Energy and the Environment",decc.gov.ie,Central Government,found,v=spf1 ip4:137.191.239.189 ip4:193.1.193.165 ip4:193.178.1.33 ip4:137.191.224.10 ip4:137.191.224.140 include:spfext.itservices.gov.ie -all,-all,4,1,FALSE,found,v=DMARC1; p=none;,none,2,none,100,FALSE,FALSE,r,r,found,s1,k=rsa; t=s; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwu6Jjn4HiNEgV/4VUR+01VYjvBRKhubt04UCnxV2HWiL0WRpZXDN5bJSDgJpsj/LaYpoIxf+b0ASY6Ehe6BAHBOFoBuslq7F2cyOdi+i+ziNOedQXPbs6cosaPkdWGW5f4LQ9lTEQ94JoqzpXE9WfaT4OYXKrEUFN5ey+xGIHbzTQt1z8xoUNdTytVG0KlMSkOycrice7nrt7KP/hMB+1vgD7vzM6IV1g7uDPFUxvvZh4R6rnO5IDciqWX+RE0YPHp5dpdB2cjekqAYf1xywt9s/GmfYDzdYlxTJ7k7p+UG8kjIPasZEs/VjMUZLebwjGo9AsnOnKJKS9DCMSe1AFwIDAQAB,rsa,2048,3,FALSE,FALSE
"Department of Culture, Communications and Sport",ccs.gov.ie,Central Government,found,v=spf1 a mx ip4:137.191.239.66/32 ip4:137.191.248.228/32 ip4:137.191.248.232/32 include:_spf.mlsend.com include:eu._netblocks.mimecast.com include:spfext.itservices.gov.ie include:spf.protection.outlook.com include:_spf.mindaclient.com ~all,~all,3,8,FALSE,nxdomain,,,,,,FALSE,FALSE,,,not_published,,,,,,,
Department of Defence,defence.ie,Central Government,found,v=spf1 include:spf.mailjet.com mx ip4:137.191.229.119 a:mx.defence.ie include:spfext.itservices.gov.ie ~all,~all,3,4,FALSE,found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc-rua@defence.ie,none,2,none,100,TRUE,FALSE,r,r,not_published,,,,,,,
Department of Education and Youth,education.gov.ie,Central Government,found,v=spf1 ip4:137.191.242.105 ip4:137.191.242.109 ip4:137.191.246.71 ip4:137.116.251.29 ip4:52.169.81.176 include:spf.protection.outlook.com ~all,~all,3,1,FALSE,found,v=DMARC1; p=quarantine; pct=50; sp=none; rua=mailto:02qt5l6u@ag.eu.dmarcian.com; ruf=mailto:02qt5l6u@fr.eu.dmarcian.com;,quarantine,3,none,50,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAveGnHEYG9/qLPJn5d6G8hlXnq2gCGKOB7PaSB9HLiauTNDtbVISH2XQtX1ruDPIPjunqrY7wDjmLjUljDFzx+dBx9YsZYGQ6agIG3KpJYv0rUL1lyXOQjQnfm9NCKgFwUYwcDi6a6ltC5WvMkX+n7Z1dQj2KyxDm4FKpZBsAtivSaY5v3kwo4yIT7v9k1GZl28twR86dj6ZSlOb9byXbWTcoKoEdh8VMr7O0UZpgn6bQVLrqrj2sd25h8txZaomws8/dZOc1Wl+ZZiPlPb5qU5EDZiPnbtnWJA7/uIKYxe38/sx1KWXOmd1UKi+AUT3MwsBbKDMt9/cMaCsVXw2ZTQIDAQAB;,rsa,2048,3,FALSE,FALSE
"Department of Enterprise, Tourism and Employment",enterprise.gov.ie,Central Government,found,v=spf1 ip4:137.191.224.104 include:_spf.createsend.com include:_spf.psm.knowbe4.com ~all,~all,3,2,FALSE,found,v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:bfa65a29@inbox.ondmarc.com; ruf=mailto:bfa65a29@inbox.ondmarc.com;,reject,4,reject,100,TRUE,TRUE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
Department of Finance,finance.gov.ie,Central Government,found,v=spf1 ip4:137.191.249.114 ip4:137.191.246.70 include:spfext.itservices.gov.ie -all,-all,4,1,FALSE,found,v=DMARC1; p=none;,none,2,none,100,FALSE,FALSE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
Department of Foreign Affairs and Trade,dfa.ie,Central Government,found,v=spf1 mx a:ext0.dfa.ie a:ext1.dfa.ie a:ext2.dfa.ie a:dujr-smtp.dfa.ie ip4:62.23.128.139 ip4:137.191.224.106 ip4:137.191.245.20 ip4:83.70.105.34 ip4:137.191.224.68 ip4:137.191.228.251 a:dfat.ie include:customers.clickdimensions.com ~all,~all,3,9,FALSE,found,"v=DMARC1; p=quarantine; rua=mailto:demarkreports@dfa.ie,mailto:c51ff3cfbb@rua.easydmarc.eu; ruf=mailto:demarkreports@dfa.ie,mailto:c51ff3cfbb@ruf.easydmarc.eu; sp=none; fo=1; ri=86400",quarantine,3,none,100,TRUE,TRUE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
"Department of Further and Higher Education, Research, Innovation and Science",dfheris.gov.ie,Central Government,found,v=spf1 ip4:137.191.242.105 ip4:137.191.242.109 ip4:137.191.246.71 ip4:137.116.251.29 ip4:52.169.81.176 include:spf.protection.outlook.com ~all,~all,3,1,FALSE,found,v=DMARC1; p=quarantine; pct=100; sp=none; rua=mailto:02qt5l6u@ag.eu.dmarcian.com; ruf=mailto:02qt5l6u@fr.eu.dmarcian.com;,quarantine,3,none,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsDouvvxX5Ou4d5Qy4djB59J5noMkQcVPe6J7xPgjqFhG02CUj9DzHRSFx6Dqic0OF6PY92bpC8+OUBP2S6w3gHxtKnla56LTkW542eyiVFZ3FkJHvKSD4wJfx7oi75tlbMacUGzRZxuN/rLxyFDS6zmekpRQqgnI2S3nDm8NRyXvhewaerulomOCi0wuCyl6w0iIowaePRt3cVV1svdmEbMByhAYRmY7ShSuUA2MFUqv+4KqtgB4h3u/qdtqjg0sX11RrBfUMismm5vFK8Dq4K6wxFNfSveHHITjH8BoiFPJJeLYAk7cZ/YX3dBtpy7qvf+ai60a+8pAPW9f9+o7BQIDAQAB;,rsa,2048,3,FALSE,FALSE
