organization_name,domain,sector,spf_status,spf_record,spf_qualifier,spf_qualifier_score,spf_lookup_count,spf_lookup_exceeds_limit,dmarc_status,dmarc_record,dmarc_policy,dmarc_policy_score,dmarc_subdomain_policy,dmarc_pct,dmarc_reporting_configured,dmarc_forensic_reporting_configured,dmarc_alignment_spf,dmarc_alignment_dkim
"Department of Agriculture, Food and the Marine",agriculture.gov.ie,Central Government,found,v=spf1 mx a ip4:137.191.244.202 a:agriculture.gov.ie ~all,~all,3,3,False,found,v=DMARC1; p=none; rua=mailto:dmarc.reporting@agriculture.gov.ie; ruf=mailto:dmarc.forensics@agriculture.gov.ie; ri=604800,none,2,none,100,True,True,r,r
"Department of Children, Disability and Equality",equality.gov.ie,Central Government,found,v=spf1 ip4:137.191.246.53 ip4:137.191.249.114 ip4:137.191.246.70 include:spfext.itservices.gov.ie include:spf.newsletter.ie -all,-all,4,2,False,found,v=DMARC1; p=none;,none,2,none,100,False,False,r,r
"Department of Climate, Energy and the Environment",decc.gov.ie,Central Government,found,v=spf1 ip4:137.191.239.189 ip4:193.1.193.165 ip4:193.178.1.33 ip4:137.191.224.10 ip4:137.191.224.140 include:spfext.itservices.gov.ie -all,-all,4,1,False,found,v=DMARC1; p=none;,none,2,none,100,False,False,r,r
"Department of Culture, Communications and Sport",ccs.gov.ie,Central Government,found,v=spf1 a mx ip4:137.191.239.66/32 ip4:137.191.248.228/32 ip4:137.191.248.232/32 include:_spf.mlsend.com include:eu._netblocks.mimecast.com include:spfext.itservices.gov.ie include:spf.protection.outlook.com include:_spf.mindaclient.com ~all,~all,3,7,False,nxdomain,,,,,,,,,
Department of Defence,defence.ie,Central Government,found,v=spf1 include:spf.mailjet.com mx ip4:137.191.229.119 a:mx.defence.ie include:spfext.itservices.gov.ie ~all,~all,3,4,False,found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc-rua@defence.ie,none,2,none,100,True,False,r,r
Department of Education and Youth,education.gov.ie,Central Government,found,v=spf1 ip4:137.191.242.105 ip4:137.191.242.109 ip4:137.191.246.71 ip4:137.116.251.29 ip4:52.169.81.176 include:spf.protection.outlook.com ~all,~all,3,1,False,found,v=DMARC1; p=quarantine; pct=50; sp=none; rua=mailto:02qt5l6u@ag.eu.dmarcian.com; ruf=mailto:02qt5l6u@fr.eu.dmarcian.com;,quarantine,3,none,50,True,True,r,r
"Department of Enterprise, Tourism and Employment",enterprise.gov.ie,Central Government,found,v=spf1 ip4:137.191.224.104 include:_spf.createsend.com include:_spf.psm.knowbe4.com ~all,~all,3,2,False,found,v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:bfa65a29@inbox.ondmarc.com; ruf=mailto:bfa65a29@inbox.ondmarc.com;,reject,4,reject,100,True,True,r,r
Department of Finance,finance.gov.ie,Central Government,found,v=spf1 ip4:137.191.249.114 ip4:137.191.246.70 include:spfext.itservices.gov.ie -all,-all,4,1,False,found,v=DMARC1; p=none;,none,2,none,100,False,False,r,r
Department of Foreign Affairs and Trade,dfa.ie,Central Government,found,v=spf1 mx a:ext0.dfa.ie a:ext1.dfa.ie a:ext2.dfa.ie a:dujr-smtp.dfa.ie ip4:62.23.128.139 ip4:137.191.224.106 ip4:137.191.245.20 ip4:83.70.105.34 ip4:137.191.224.68 ip4:137.191.228.251 a:dfat.ie include:customers.clickdimensions.com ~all,~all,3,7,False,found,"v=DMARC1; p=quarantine; rua=mailto:demarkreports@dfa.ie,mailto:c51ff3cfbb@rua.easydmarc.eu; ruf=mailto:demarkreports@dfa.ie,mailto:c51ff3cfbb@ruf.easydmarc.eu; sp=none; fo=1; ri=86400",quarantine,3,none,100,True,True,r,r
"Department of Further and Higher Education, Research, Innovation and Science",dfheris.gov.ie,Central Government,found,v=spf1 ip4:137.191.242.105 ip4:137.191.242.109 ip4:137.191.246.71 ip4:137.116.251.29 ip4:52.169.81.176 include:spf.protection.outlook.com ~all,~all,3,1,False,found,v=DMARC1; p=quarantine; pct=100; sp=none; rua=mailto:02qt5l6u@ag.eu.dmarcian.com; ruf=mailto:02qt5l6u@fr.eu.dmarcian.com;,quarantine,3,none,100,True,True,r,r
